title,project,listing_type,property_type,bedrooms,bathrooms,size_sqft,price,price_label,currency,image_url,description,is_featured,status,locale
Golf Suite 2-Bedroom For Rent,Forest City,rent,2-Bedroom Apartment,2,2,1030,3280,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 014 — Danga. WA: 60120001014. URL: https://edgeprop.com.my/listing/forest-city-14,false,published,en
Cerulean Bay 3-Bedroom For Sale,Forest City,sale,3-Bedroom Apartment,3,2,1405,695000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 015 — Forest. WA: 60120001015. URL: https://propertyguru.com.my/listing/forest-city-15,false,published,en
Phoenix Tower Studio For Rent,Forest City,rent,Studio,0,1,460,3520,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 016 — R&F. WA: 60120001016. URL: https://iproperty.com.my/listing/forest-city-16,false,published,en
Starview Bay 1-Bedroom For Rent,Forest City,rent,1-Bedroom Apartment,1,1,650,3640,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 017 — Danga. WA: 60120001017. URL: https://edgeprop.com.my/listing/forest-city-17,true,published,en
Marina Residences 2-Bedroom For Sale,Forest City,sale,2-Bedroom Apartment,2,2,970,770000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 018 — Forest. WA: 60120001018. URL: https://propertyguru.com.my/listing/forest-city-18,false,published,en
Golf Suite 3-Bedroom For Rent,Forest City,rent,3-Bedroom Apartment,3,2,1345,3880,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 019 — R&F. WA: 60120001019. URL: https://iproperty.com.my/listing/forest-city-19,false,published,en
Cerulean Bay Studio For Rent,Forest City,rent,Studio,0,1,520,4000,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 020 — Danga. WA: 60120001020. URL: https://edgeprop.com.my/listing/forest-city-20,false,published,en
Phoenix Tower 1-Bedroom For Sale,Forest City,sale,1-Bedroom Apartment,1,1,710,845000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 021 — Forest. WA: 60120001021. URL: https://propertyguru.com.my/listing/forest-city-21,false,published,en
Starview Bay 2-Bedroom For Rent,Forest City,rent,2-Bedroom Apartment,2,2,1030,4240,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 022 — R&F. WA: 60120001022. URL: https://iproperty.com.my/listing/forest-city-22,false,published,en
Marina Residences 3-Bedroom For Rent,Forest City,rent,3-Bedroom Apartment,3,2,1405,4360,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 023 — Danga. WA: 60120001023. URL: https://edgeprop.com.my/listing/forest-city-23,false,published,en
Golf Suite Studio For Sale,Forest City,sale,Studio,0,1,460,920000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 024 — Forest. WA: 60120001024. URL: https://propertyguru.com.my/listing/forest-city-24,false,published,en
Cerulean Bay 1-Bedroom For Rent,Forest City,rent,1-Bedroom Apartment,1,1,650,1600,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 025 — R&F. WA: 60120001025. URL: https://iproperty.com.my/listing/forest-city-25,true,published,en
Phoenix Tower 2-Bedroom For Rent,Forest City,rent,2-Bedroom Apartment,2,2,970,1720,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 026 — Danga. WA: 60120001026. URL: https://edgeprop.com.my/listing/forest-city-26,false,published,en
Starview Bay 3-Bedroom For Sale,Forest City,sale,3-Bedroom Apartment,3,2,1345,995000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 027 — Forest. WA: 60120001027. URL: https://propertyguru.com.my/listing/forest-city-27,false,published,en
Marina Residences Studio For Rent,Forest City,rent,Studio,0,1,520,1960,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 028 — R&F. WA: 60120001028. URL: https://iproperty.com.my/listing/forest-city-28,false,published,en
Golf Suite 1-Bedroom For Rent,Forest City,rent,1-Bedroom Apartment,1,1,710,2080,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 029 — Danga. WA: 60120001029. URL: https://edgeprop.com.my/listing/forest-city-29,false,published,en
Cerulean Bay 2-Bedroom For Sale,Forest City,sale,2-Bedroom Apartment,2,2,1030,320000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 030 — Forest. WA: 60120001030. URL: https://propertyguru.com.my/listing/forest-city-30,false,published,en
Phoenix Tower 3-Bedroom For Rent,Forest City,rent,3-Bedroom Apartment,3,2,1405,2320,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 031 — R&F. WA: 60120001031. URL: https://iproperty.com.my/listing/forest-city-31,false,published,en
Starview Bay Studio For Rent,Forest City,rent,Studio,0,1,460,2440,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 032 — Danga. WA: 60120001032. URL: https://edgeprop.com.my/listing/forest-city-32,false,published,en
Marina Residences 1-Bedroom For Sale,Forest City,sale,1-Bedroom Apartment,1,1,650,395000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 033 — Forest. WA: 60120001033. URL: https://propertyguru.com.my/listing/forest-city-33,true,published,en
Golf Suite 2-Bedroom For Rent,Forest City,rent,2-Bedroom Apartment,2,2,970,2680,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 034 — R&F. WA: 60120001034. URL: https://iproperty.com.my/listing/forest-city-34,false,published,en
Phase 1 Tower A 3-Bedroom For Rent,R&F Princess Cove,rent,3-Bedroom Apartment,3,2,1345,3000,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 035 — Danga. WA: 60120001035. URL: https://edgeprop.com.my/listing/r-f-princess-cove-35,false,published,en
Phase 2 Tower B Studio For Sale,R&F Princess Cove,sale,Studio,0,1,520,670000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 036 — Forest. WA: 60120001036. URL: https://propertyguru.com.my/listing/r-f-princess-cove-36,false,published,en
Sky Villa 1-Bedroom For Rent,R&F Princess Cove,rent,1-Bedroom Apartment,1,1,710,3240,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 037 — R&F. WA: 60120001037. URL: https://iproperty.com.my/listing/r-f-princess-cove-37,false,published,en
Waterfront Tower 2-Bedroom For Rent,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,1030,3360,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 038 — Danga. WA: 60120001038. URL: https://edgeprop.com.my/listing/r-f-princess-cove-38,false,published,en
CIQ View 3-Bedroom For Sale,R&F Princess Cove,sale,3-Bedroom Apartment,3,2,1405,745000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 039 — Forest. WA: 60120001039. URL: https://propertyguru.com.my/listing/r-f-princess-cove-39,false,published,en
Phase 1 Tower A Studio For Rent,R&F Princess Cove,rent,Studio,0,1,460,3600,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 040 — R&F. WA: 60120001040. URL: https://iproperty.com.my/listing/r-f-princess-cove-40,false,published,en
Phase 2 Tower B 1-Bedroom For Rent,R&F Princess Cove,rent,1-Bedroom Apartment,1,1,650,3720,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 041 — Danga. WA: 60120001041. URL: https://edgeprop.com.my/listing/r-f-princess-cove-41,true,published,en
Sky Villa 2-Bedroom For Sale,R&F Princess Cove,sale,2-Bedroom Apartment,2,2,970,820000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 042 — Forest. WA: 60120001042. URL: https://propertyguru.com.my/listing/r-f-princess-cove-42,false,published,en
Waterfront Tower 3-Bedroom For Rent,R&F Princess Cove,rent,3-Bedroom Apartment,3,2,1345,3960,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 043 — R&F. WA: 60120001043. URL: https://iproperty.com.my/listing/r-f-princess-cove-43,false,published,en
CIQ View Studio For Rent,R&F Princess Cove,rent,Studio,0,1,520,4080,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 044 — Danga. WA: 60120001044. URL: https://edgeprop.com.my/listing/r-f-princess-cove-44,false,published,en
Phase 1 Tower A 1-Bedroom For Sale,R&F Princess Cove,sale,1-Bedroom Apartment,1,1,710,895000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 045 — Forest. WA: 60120001045. URL: https://propertyguru.com.my/listing/r-f-princess-cove-45,false,published,en
Phase 2 Tower B 2-Bedroom For Rent,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,1030,4320,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 046 — R&F. WA: 60120001046. URL: https://iproperty.com.my/listing/r-f-princess-cove-46,false,published,en
Sky Villa 3-Bedroom For Rent,R&F Princess Cove,rent,3-Bedroom Apartment,3,2,1405,4440,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 047 — Danga. WA: 60120001047. URL: https://edgeprop.com.my/listing/r-f-princess-cove-47,false,published,en
Waterfront Tower Studio For Sale,R&F Princess Cove,sale,Studio,0,1,460,970000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 048 — Forest. WA: 60120001048. URL: https://propertyguru.com.my/listing/r-f-princess-cove-48,false,published,en
CIQ View 1-Bedroom For Rent,R&F Princess Cove,rent,1-Bedroom Apartment,1,1,650,4680,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 049 — R&F. WA: 60120001049. URL: https://iproperty.com.my/listing/r-f-princess-cove-49,true,published,en
Phase 1 Tower A 2-Bedroom For Rent,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,970,1800,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 050 — Danga. WA: 60120001050. URL: https://edgeprop.com.my/listing/r-f-princess-cove-50,false,published,en
Phase 2 Tower B 3-Bedroom For Sale,R&F Princess Cove,sale,3-Bedroom Apartment,3,2,1345,1045000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 051 — Forest. WA: 60120001051. URL: https://propertyguru.com.my/listing/r-f-princess-cove-51,false,published,en
Sky Villa Studio For Rent,R&F Princess Cove,rent,Studio,0,1,520,2040,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 052 — R&F. WA: 60120001052. URL: https://iproperty.com.my/listing/r-f-princess-cove-52,false,published,en
Waterfront Tower 1-Bedroom For Rent,R&F Princess Cove,rent,1-Bedroom Apartment,1,1,710,2160,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 053 — Danga. WA: 60120001053. URL: https://edgeprop.com.my/listing/r-f-princess-cove-53,false,published,en
CIQ View 2-Bedroom For Sale,R&F Princess Cove,sale,2-Bedroom Apartment,2,2,1030,1120000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 054 — Forest. WA: 60120001054. URL: https://propertyguru.com.my/listing/r-f-princess-cove-54,false,published,en
Phase 1 Tower A 3-Bedroom For Rent,R&F Princess Cove,rent,3-Bedroom Apartment,3,2,1405,2400,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 055 — R&F. WA: 60120001055. URL: https://iproperty.com.my/listing/r-f-princess-cove-55,false,published,en
Phase 2 Tower B Studio For Rent,R&F Princess Cove,rent,Studio,0,1,460,2520,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 056 — Danga. WA: 60120001056. URL: https://edgeprop.com.my/listing/r-f-princess-cove-56,false,published,en
Sky Villa 1-Bedroom For Sale,R&F Princess Cove,sale,1-Bedroom Apartment,1,1,650,1195000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 057 — Forest. WA: 60120001057. URL: https://propertyguru.com.my/listing/r-f-princess-cove-57,true,published,en
Waterfront Tower 2-Bedroom For Rent,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,970,2760,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 058 — R&F. WA: 60120001058. URL: https://iproperty.com.my/listing/r-f-princess-cove-58,false,published,en
CIQ View 3-Bedroom For Rent,R&F Princess Cove,rent,3-Bedroom Apartment,3,2,1345,2880,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 059 — Danga. WA: 60120001059. URL: https://edgeprop.com.my/listing/r-f-princess-cove-59,false,published,en
Phase 1 Tower A Studio For Sale,R&F Princess Cove,sale,Studio,0,1,520,520000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 060 — Forest. WA: 60120001060. URL: https://propertyguru.com.my/listing/r-f-princess-cove-60,false,published,en
Phase 2 Tower B 1-Bedroom For Rent,R&F Princess Cove,rent,1-Bedroom Apartment,1,1,710,3120,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 061 — R&F. WA: 60120001061. URL: https://iproperty.com.my/listing/r-f-princess-cove-61,false,published,en
Sky Villa 2-Bedroom For Rent,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,1030,3240,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 062 — Danga. WA: 60120001062. URL: https://edgeprop.com.my/listing/r-f-princess-cove-62,false,published,en
Waterfront Tower 3-Bedroom For Sale,R&F Princess Cove,sale,3-Bedroom Apartment,3,2,1405,595000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 063 — Forest. WA: 60120001063. URL: https://propertyguru.com.my/listing/r-f-princess-cove-63,false,published,en
CIQ View Studio For Rent,R&F Princess Cove,rent,Studio,0,1,460,3480,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 064 — R&F. WA: 60120001064. URL: https://iproperty.com.my/listing/r-f-princess-cove-64,false,published,en
Phase 1 Tower A 1-Bedroom For Rent,R&F Princess Cove,rent,1-Bedroom Apartment,1,1,650,3600,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 065 — Danga. WA: 60120001065. URL: https://edgeprop.com.my/listing/r-f-princess-cove-65,true,published,en
Phase 2 Tower B 2-Bedroom For Sale,R&F Princess Cove,sale,2-Bedroom Apartment,2,2,970,670000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 066 — Forest. WA: 60120001066. URL: https://propertyguru.com.my/listing/r-f-princess-cove-66,false,published,en
Sky Villa 3-Bedroom For Rent,R&F Princess Cove,rent,3-Bedroom Apartment,3,2,1345,3840,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 067 — R&F. WA: 60120001067. URL: https://iproperty.com.my/listing/r-f-princess-cove-67,false,published,en
Bay Point Studio For Rent,Danga Bay,rent,Studio,0,1,520,3560,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 068 — Danga. WA: 60120001068. URL: https://edgeprop.com.my/listing/danga-bay-68,false,published,en
Tebrau View 1-Bedroom For Sale,Danga Bay,sale,1-Bedroom Apartment,1,1,710,545000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 069 — Forest. WA: 60120001069. URL: https://propertyguru.com.my/listing/danga-bay-69,false,published,en
Country Garden 2-Bedroom For Rent,Danga Bay,rent,2-Bedroom Apartment,2,2,1030,3800,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 070 — R&F. WA: 60120001070. URL: https://iproperty.com.my/listing/danga-bay-70,false,published,en
Z-Plaza 3-Bedroom For Rent,Danga Bay,rent,3-Bedroom Apartment,3,2,1405,3920,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 071 — Danga. WA: 60120001071. URL: https://edgeprop.com.my/listing/danga-bay-71,false,published,en
Danga Bay Suites Studio For Sale,Danga Bay,sale,Studio,0,1,460,620000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 072 — Forest. WA: 60120001072. URL: https://propertyguru.com.my/listing/danga-bay-72,false,published,en
Bay Point 1-Bedroom For Rent,Danga Bay,rent,1-Bedroom Apartment,1,1,650,4160,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 073 — R&F. WA: 60120001073. URL: https://iproperty.com.my/listing/danga-bay-73,true,published,en
Tebrau View 2-Bedroom For Rent,Danga Bay,rent,2-Bedroom Apartment,2,2,970,4280,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 074 — Danga. WA: 60120001074. URL: https://edgeprop.com.my/listing/danga-bay-74,false,published,en
Country Garden 3-Bedroom For Sale,Danga Bay,sale,3-Bedroom Apartment,3,2,1345,695000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 075 — Forest. WA: 60120001075. URL: https://propertyguru.com.my/listing/danga-bay-75,false,published,en
Z-Plaza Studio For Rent,Danga Bay,rent,Studio,0,1,520,1520,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 076 — R&F. WA: 60120001076. URL: https://iproperty.com.my/listing/danga-bay-76,false,published,en
Danga Bay Suites 1-Bedroom For Rent,Danga Bay,rent,1-Bedroom Apartment,1,1,710,1640,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 077 — Danga. WA: 60120001077. URL: https://edgeprop.com.my/listing/danga-bay-77,false,published,en
Bay Point 2-Bedroom For Sale,Danga Bay,sale,2-Bedroom Apartment,2,2,1030,770000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 078 — Forest. WA: 60120001078. URL: https://propertyguru.com.my/listing/danga-bay-78,false,published,en
Tebrau View 3-Bedroom For Rent,Danga Bay,rent,3-Bedroom Apartment,3,2,1405,1880,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 079 — R&F. WA: 60120001079. URL: https://iproperty.com.my/listing/danga-bay-79,false,published,en
Country Garden Studio For Rent,Danga Bay,rent,Studio,0,1,460,2000,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 080 — Danga. WA: 60120001080. URL: https://edgeprop.com.my/listing/danga-bay-80,false,published,en
Z-Plaza 1-Bedroom For Sale,Danga Bay,sale,1-Bedroom Apartment,1,1,650,845000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 081 — Forest. WA: 60120001081. URL: https://propertyguru.com.my/listing/danga-bay-81,true,published,en
Danga Bay Suites 2-Bedroom For Rent,Danga Bay,rent,2-Bedroom Apartment,2,2,970,2240,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 082 — R&F. WA: 60120001082. URL: https://iproperty.com.my/listing/danga-bay-82,false,published,en
Bay Point 3-Bedroom For Rent,Danga Bay,rent,3-Bedroom Apartment,3,2,1345,2360,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 083 — Danga. WA: 60120001083. URL: https://edgeprop.com.my/listing/danga-bay-83,false,published,en
Tebrau View Studio For Sale,Danga Bay,sale,Studio,0,1,520,920000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 084 — Forest. WA: 60120001084. URL: https://propertyguru.com.my/listing/danga-bay-84,false,published,en
Country Garden 1-Bedroom For Rent,Danga Bay,rent,1-Bedroom Apartment,1,1,710,2600,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 085 — R&F. WA: 60120001085. URL: https://iproperty.com.my/listing/danga-bay-85,false,published,en
Z-Plaza 2-Bedroom For Rent,Danga Bay,rent,2-Bedroom Apartment,2,2,1030,2720,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 086 — Danga. WA: 60120001086. URL: https://edgeprop.com.my/listing/danga-bay-86,false,published,en
Danga Bay Suites 3-Bedroom For Sale,Danga Bay,sale,3-Bedroom Apartment,3,2,1405,995000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 087 — Forest. WA: 60120001087. URL: https://propertyguru.com.my/listing/danga-bay-87,false,published,en
Bay Point Studio For Rent,Danga Bay,rent,Studio,0,1,460,2960,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 088 — R&F. WA: 60120001088. URL: https://iproperty.com.my/listing/danga-bay-88,false,published,en
Tebrau View 1-Bedroom For Rent,Danga Bay,rent,1-Bedroom Apartment,1,1,650,3080,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 089 — Danga. WA: 60120001089. URL: https://edgeprop.com.my/listing/danga-bay-89,true,published,en
Country Garden 2-Bedroom For Sale,Danga Bay,sale,2-Bedroom Apartment,2,2,970,320000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 090 — Forest. WA: 60120001090. URL: https://propertyguru.com.my/listing/danga-bay-90,false,published,en
Z-Plaza 3-Bedroom For Rent,Danga Bay,rent,3-Bedroom Apartment,3,2,1345,3320,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 091 — R&F. WA: 60120001091. URL: https://iproperty.com.my/listing/danga-bay-91,false,published,en
Danga Bay Suites Studio For Rent,Danga Bay,rent,Studio,0,1,520,3440,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 092 — Danga. WA: 60120001092. URL: https://edgeprop.com.my/listing/danga-bay-92,false,published,en
Bay Point 1-Bedroom For Sale,Danga Bay,sale,1-Bedroom Apartment,1,1,710,395000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 093 — Forest. WA: 60120001093. URL: https://propertyguru.com.my/listing/danga-bay-93,false,published,en
Tebrau View 2-Bedroom For Rent,Danga Bay,rent,2-Bedroom Apartment,2,2,1030,3680,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 094 — R&F. WA: 60120001094. URL: https://iproperty.com.my/listing/danga-bay-94,false,published,en
Country Garden 3-Bedroom For Rent,Danga Bay,rent,3-Bedroom Apartment,3,2,1405,3800,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 095 — Danga. WA: 60120001095. URL: https://edgeprop.com.my/listing/danga-bay-95,false,published,en
Z-Plaza Studio For Sale,Danga Bay,sale,Studio,0,1,460,470000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 096 — Forest. WA: 60120001096. URL: https://propertyguru.com.my/listing/danga-bay-96,false,published,en
Danga Bay Suites 1-Bedroom For Rent,Danga Bay,rent,1-Bedroom Apartment,1,1,650,4040,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 097 — R&F. WA: 60120001097. URL: https://iproperty.com.my/listing/danga-bay-97,true,published,en
Bay Point 2-Bedroom For Rent,Danga Bay,rent,2-Bedroom Apartment,2,2,970,4160,,MYR,,Sprint 01 inventory. Source: EdgeProp. Agent: Agent 098 — Danga. WA: 60120001098. URL: https://edgeprop.com.my/listing/danga-bay-98,false,published,en
Tebrau View 3-Bedroom For Sale,Danga Bay,sale,3-Bedroom Apartment,3,2,1345,545000,,MYR,,Sprint 01 inventory. Source: PropertyGuru. Agent: Agent 099 — Forest. WA: 60120001099. URL: https://propertyguru.com.my/listing/danga-bay-99,false,published,en
Country Garden Studio For Rent,Danga Bay,rent,Studio,0,1,520,1400,,MYR,,Sprint 01 inventory. Source: iProperty. Agent: Agent 100 — R&F. WA: 60120001100. URL: https://iproperty.com.my/listing/danga-bay-100,false,published,en
