listing_key,match_title,project,building,verified_listing,onsite_checked,verified_date,price,bedrooms,bathrooms,size_sqft,hero_photo
ver-rf-p3-03,Phase 3 C 1-Bedroom Skyline — R&F Princess Cove,R&F Princess Cove,rf-phase-3,true,true,2026-06-20,3900,3,1,1100,/assets/verified/rf-princess-cove/rf-phase-3/ver-rf-p3-03-1.jpg
ver-cg-01,Country Garden 1-Bedroom — Country Garden Danga Bay,Country Garden Danga Bay,country-garden-danga-bay,true,true,2026-06-20,1650,1,1,580,/assets/verified/country-garden-danga-bay/country-garden-danga-bay/ver-cg-01-1.jpg
ver-cg-02,Country Garden 2-Bedroom — Country Garden Danga Bay,Country Garden Danga Bay,country-garden-danga-bay,true,true,2026-06-20,2050,2,1,900,/assets/verified/country-garden-danga-bay/country-garden-danga-bay/ver-cg-02-1.jpg
ver-cg-03,Country Garden 3-Bedroom Waterfront — Country Garden Danga Bay,Country Garden Danga Bay,country-garden-danga-bay,true,true,2026-06-20,2450,3,2,1220,/assets/verified/country-garden-danga-bay/country-garden-danga-bay/ver-cg-03-1.jpg
ver-cg-04,Country Garden Studio Bay View — Country Garden Danga Bay,Country Garden Danga Bay,country-garden-danga-bay,true,true,2026-06-20,1500,0,1,450,/assets/verified/country-garden-danga-bay/country-garden-danga-bay/ver-cg-04-1.jpg
ver-cg-05,Country Garden 2-Bed Furnished — Country Garden Danga Bay,Country Garden Danga Bay,country-garden-danga-bay,true,true,2026-06-20,1850,2,1,730,/assets/verified/country-garden-danga-bay/country-garden-danga-bay/ver-cg-05-1.jpg
ver-cg-06,Country Garden 1-Bed Promenade — Country Garden Danga Bay,Country Garden Danga Bay,country-garden-danga-bay,true,true,2026-06-20,2200,3,1,1010,/assets/verified/country-garden-danga-bay/country-garden-danga-bay/ver-cg-06-1.jpg
ver-cg-07,Country Garden 2-Bed Family — Country Garden Danga Bay,Country Garden Danga Bay,country-garden-danga-bay,true,true,2026-06-20,1900,2,1,900,/assets/verified/country-garden-danga-bay/country-garden-danga-bay/ver-cg-07-1.jpg
ver-cg-08,Country Garden 3-Bed Seaview — Country Garden Danga Bay,Country Garden Danga Bay,country-garden-danga-bay,true,true,2026-06-20,2280,2,2,1150,/assets/verified/country-garden-danga-bay/country-garden-danga-bay/ver-cg-08-1.jpg
ver-cg-09,Country Garden 1-Bed Pool View — Country Garden Danga Bay,Country Garden Danga Bay,country-garden-danga-bay,true,true,2026-06-20,2660,3,1,1400,/assets/verified/country-garden-danga-bay/country-garden-danga-bay/ver-cg-09-1.jpg
