title,project,listing_type,property_type,bedrooms,bathrooms,size_sqft,price,price_label,currency,image_url,description,is_featured,status,locale
Phase 2 B Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,486,3200,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,Phase 2 B · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Sky Villa 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,969,3750,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,Sky Villa · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
CIQ View Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,522,4250,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,CIQ View · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 1 A 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,1005,2200,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,Phase 1 A · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Waterfront Tower Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,558,2700,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,Waterfront Tower · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 2 B 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,915,3200,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,Phase 2 B · 2-Bedroom rental in R&F Princess Cove. Featured. Viewing by appointment.,true,published,en
Sky Villa Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,468,3750,,MYR,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80&sig=s3-0,Sky Villa · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
CIQ View 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,951,4250,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,CIQ View · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 1 A Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,504,2200,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,Phase 1 A · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Waterfront Tower 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,987,2700,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,Waterfront Tower · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 2 B Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,540,3200,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,Phase 2 B · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Sky Villa 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,1023,3750,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,Sky Villa · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
CIQ View Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,450,4250,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,CIQ View · Studio rental in R&F Princess Cove. Featured. Viewing by appointment.,true,published,en
Country Garden 3-Bedroom — Danga Bay,Danga Bay,rent,3-Bedroom Apartment,3,2,1275,2500,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,Country Garden · 3-Bedroom rental in Danga Bay. Featured. Viewing by appointment.,true,published,en
Z-Plaza 1-Bedroom — Danga Bay,Danga Bay,rent,1-Bedroom Apartment,1,1,653,2800,,MYR,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80&sig=s3-0,Z-Plaza · 1-Bedroom rental in Danga Bay. Viewing by appointment.,false,published,en
Bay Point 3-Bedroom — Danga Bay,Danga Bay,rent,3-Bedroom Apartment,3,2,1311,1550,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,Bay Point · 3-Bedroom rental in Danga Bay. Viewing by appointment.,false,published,en
Tebrau View 1-Bedroom — Danga Bay,Danga Bay,rent,1-Bedroom Apartment,1,1,689,1850,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,Tebrau View · 1-Bedroom rental in Danga Bay. Viewing by appointment.,false,published,en
Danga Suites 3-Bedroom — Danga Bay,Danga Bay,rent,3-Bedroom Apartment,3,2,1347,2200,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,Danga Suites · 3-Bedroom rental in Danga Bay. Viewing by appointment.,false,published,en
Country Garden 1-Bedroom — Danga Bay,Danga Bay,rent,1-Bedroom Apartment,1,1,725,2500,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,Country Garden · 1-Bedroom rental in Danga Bay. Viewing by appointment.,false,published,en
Z-Plaza 3-Bedroom — Danga Bay,Danga Bay,rent,3-Bedroom Apartment,3,2,1383,2800,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,Z-Plaza · 3-Bedroom rental in Danga Bay. Viewing by appointment.,false,published,en
Bay Point 1-Bedroom — Danga Bay,Danga Bay,rent,1-Bedroom Apartment,1,1,635,1550,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,Bay Point · 1-Bedroom rental in Danga Bay. Featured. Viewing by appointment.,true,published,en
Tebrau View 3-Bedroom — Danga Bay,Danga Bay,rent,3-Bedroom Apartment,3,2,1293,1850,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,Tebrau View · 3-Bedroom rental in Danga Bay. Viewing by appointment.,false,published,en
