title,project,rent_or_sale,price,bedrooms,bathrooms,size_sqft,tag,rental_demand_score,target_tenant_type,agent_name,agent_whatsapp,source_url
Marina Hotel Residences 3-Bedroom — Forest City,Forest City,rent,3500,3,2,1347,commuter,1,China Owner,Agent S03-040,60120003040,https://propertyguru.com.my/listing/forest-city-s03-40
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1800,1,1,725,investment,2,China Owner,Agent S03-041,60120003041,https://propertyguru.com.my/listing/forest-city-s03-41
Starview Bay 3-Bedroom — Forest City,Forest City,rent,2250,3,2,1383,owner_management,2,China Owner,Agent S03-042,60120003042,https://propertyguru.com.my/listing/forest-city-s03-42
Golf Suite 1-Bedroom — Forest City,Forest City,rent,2650,1,1,635,family,1,China Owner,Agent S03-043,60120003043,https://propertyguru.com.my/listing/forest-city-s03-43
Phase 2 B Studio — R&F Princess Cove,R&F Princess Cove,rent,3200,0,1,450,investment,4,Singapore Commuter,Agent S03-044,60120003044,https://propertyguru.com.my/listing/r-f-princess-cove-s03-44
Sky Villa 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3750,2,2,933,commuter,5,Singapore Commuter,Agent S03-045,60120003045,https://propertyguru.com.my/listing/r-f-princess-cove-s03-45
CIQ View Studio — R&F Princess Cove,R&F Princess Cove,rent,4250,0,1,486,family,5,Singapore Commuter,Agent S03-046,60120003046,https://propertyguru.com.my/listing/r-f-princess-cove-s03-46
Phase 1 A 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2200,2,2,969,commuter,4,Singapore Commuter,Agent S03-047,60120003047,https://propertyguru.com.my/listing/r-f-princess-cove-s03-47
Waterfront Tower Studio — R&F Princess Cove,R&F Princess Cove,rent,2700,0,1,522,investment,5,Singapore Commuter,Agent S03-048,60120003048,https://propertyguru.com.my/listing/r-f-princess-cove-s03-48
Phase 2 B 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3200,2,2,1005,commuter,5,Singapore Commuter,Agent S03-049,60120003049,https://propertyguru.com.my/listing/r-f-princess-cove-s03-49
Sky Villa Studio — R&F Princess Cove,R&F Princess Cove,rent,3750,0,1,558,family,4,Singapore Commuter,Agent S03-050,60120003050,https://propertyguru.com.my/listing/r-f-princess-cove-s03-50
CIQ View 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,4250,2,2,915,commuter,5,Singapore Commuter,Agent S03-051,60120003051,https://propertyguru.com.my/listing/r-f-princess-cove-s03-51
Phase 1 A Studio — R&F Princess Cove,R&F Princess Cove,rent,2200,0,1,468,investment,5,Singapore Commuter,Agent S03-052,60120003052,https://propertyguru.com.my/listing/r-f-princess-cove-s03-52
Waterfront Tower 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2700,2,2,951,commuter,4,Singapore Commuter,Agent S03-053,60120003053,https://propertyguru.com.my/listing/r-f-princess-cove-s03-53
Phase 2 B Studio — R&F Princess Cove,R&F Princess Cove,rent,3200,0,1,504,family,5,Singapore Commuter,Agent S03-054,60120003054,https://propertyguru.com.my/listing/r-f-princess-cove-s03-54
Sky Villa 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3750,2,2,987,commuter,5,Singapore Commuter,Agent S03-055,60120003055,https://propertyguru.com.my/listing/r-f-princess-cove-s03-55
CIQ View Studio — R&F Princess Cove,R&F Princess Cove,rent,4250,0,1,540,investment,4,Singapore Commuter,Agent S03-056,60120003056,https://propertyguru.com.my/listing/r-f-princess-cove-s03-56
Phase 1 A 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2200,2,2,1023,commuter,5,Singapore Commuter,Agent S03-057,60120003057,https://propertyguru.com.my/listing/r-f-princess-cove-s03-57
Waterfront Tower Studio — R&F Princess Cove,R&F Princess Cove,rent,2700,0,1,450,family,5,Singapore Commuter,Agent S03-058,60120003058,https://propertyguru.com.my/listing/r-f-princess-cove-s03-58
Phase 2 B 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3200,2,2,933,commuter,4,Singapore Commuter,Agent S03-059,60120003059,https://propertyguru.com.my/listing/r-f-princess-cove-s03-59
Sky Villa Studio — R&F Princess Cove,R&F Princess Cove,rent,3750,0,1,486,investment,5,Singapore Commuter,Agent S03-060,60120003060,https://propertyguru.com.my/listing/r-f-princess-cove-s03-60
CIQ View 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,4250,2,2,969,commuter,5,Singapore Commuter,Agent S03-061,60120003061,https://propertyguru.com.my/listing/r-f-princess-cove-s03-61
Phase 1 A Studio — R&F Princess Cove,R&F Princess Cove,rent,2200,0,1,522,family,4,Singapore Commuter,Agent S03-062,60120003062,https://propertyguru.com.my/listing/r-f-princess-cove-s03-62
Waterfront Tower 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2700,2,2,1005,commuter,5,Singapore Commuter,Agent S03-063,60120003063,https://propertyguru.com.my/listing/r-f-princess-cove-s03-63
Phase 2 B Studio — R&F Princess Cove,R&F Princess Cove,rent,3200,0,1,558,investment,5,Singapore Commuter,Agent S03-064,60120003064,https://propertyguru.com.my/listing/r-f-princess-cove-s03-64
Sky Villa 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3750,2,2,915,commuter,4,Singapore Commuter,Agent S03-065,60120003065,https://propertyguru.com.my/listing/r-f-princess-cove-s03-65
CIQ View Studio — R&F Princess Cove,R&F Princess Cove,rent,4250,0,1,468,family,5,Singapore Commuter,Agent S03-066,60120003066,https://propertyguru.com.my/listing/r-f-princess-cove-s03-66
Phase 1 A 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2200,2,2,951,commuter,5,Singapore Commuter,Agent S03-067,60120003067,https://propertyguru.com.my/listing/r-f-princess-cove-s03-67
Waterfront Tower Studio — R&F Princess Cove,R&F Princess Cove,rent,2700,0,1,504,investment,4,Singapore Commuter,Agent S03-068,60120003068,https://propertyguru.com.my/listing/r-f-princess-cove-s03-68
Phase 2 B 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3200,2,2,987,commuter,5,Singapore Commuter,Agent S03-069,60120003069,https://propertyguru.com.my/listing/r-f-princess-cove-s03-69
Sky Villa Studio — R&F Princess Cove,R&F Princess Cove,rent,3750,0,1,540,family,5,Singapore Commuter,Agent S03-070,60120003070,https://propertyguru.com.my/listing/r-f-princess-cove-s03-70
CIQ View 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,4250,2,2,1023,commuter,4,Singapore Commuter,Agent S03-071,60120003071,https://propertyguru.com.my/listing/r-f-princess-cove-s03-71
Phase 1 A Studio — R&F Princess Cove,R&F Princess Cove,rent,2200,0,1,450,investment,5,Singapore Commuter,Agent S03-072,60120003072,https://propertyguru.com.my/listing/r-f-princess-cove-s03-72
Waterfront Tower 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2700,2,2,933,commuter,5,Singapore Commuter,Agent S03-073,60120003073,https://propertyguru.com.my/listing/r-f-princess-cove-s03-73
Phase 2 B Studio — R&F Princess Cove,R&F Princess Cove,rent,3200,0,1,486,family,4,Singapore Commuter,Agent S03-074,60120003074,https://propertyguru.com.my/listing/r-f-princess-cove-s03-74
Sky Villa 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3750,2,2,969,commuter,5,Singapore Commuter,Agent S03-075,60120003075,https://propertyguru.com.my/listing/r-f-princess-cove-s03-75
CIQ View Studio — R&F Princess Cove,R&F Princess Cove,rent,4250,0,1,522,investment,5,Singapore Commuter,Agent S03-076,60120003076,https://propertyguru.com.my/listing/r-f-princess-cove-s03-76
Phase 1 A 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2200,2,2,1005,commuter,4,Singapore Commuter,Agent S03-077,60120003077,https://propertyguru.com.my/listing/r-f-princess-cove-s03-77
Waterfront Tower Studio — R&F Princess Cove,R&F Princess Cove,rent,2700,0,1,558,family,5,Singapore Commuter,Agent S03-078,60120003078,https://propertyguru.com.my/listing/r-f-princess-cove-s03-78
Phase 2 B 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3200,2,2,915,commuter,5,Singapore Commuter,Agent S03-079,60120003079,https://propertyguru.com.my/listing/r-f-princess-cove-s03-79
Sky Villa Studio — R&F Princess Cove,R&F Princess Cove,rent,3750,0,1,468,investment,4,Singapore Commuter,Agent S03-080,60120003080,https://propertyguru.com.my/listing/r-f-princess-cove-s03-80
CIQ View 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,4250,2,2,951,commuter,5,Singapore Commuter,Agent S03-081,60120003081,https://propertyguru.com.my/listing/r-f-princess-cove-s03-81
Phase 1 A Studio — R&F Princess Cove,R&F Princess Cove,rent,2200,0,1,504,family,5,Singapore Commuter,Agent S03-082,60120003082,https://propertyguru.com.my/listing/r-f-princess-cove-s03-82
Waterfront Tower 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2700,2,2,987,commuter,4,Singapore Commuter,Agent S03-083,60120003083,https://propertyguru.com.my/listing/r-f-princess-cove-s03-83
Phase 2 B Studio — R&F Princess Cove,R&F Princess Cove,rent,3200,0,1,540,investment,5,Singapore Commuter,Agent S03-084,60120003084,https://propertyguru.com.my/listing/r-f-princess-cove-s03-84
Sky Villa 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3750,2,2,1023,commuter,5,Singapore Commuter,Agent S03-085,60120003085,https://propertyguru.com.my/listing/r-f-princess-cove-s03-85
CIQ View Studio — R&F Princess Cove,R&F Princess Cove,rent,4250,0,1,450,family,4,Singapore Commuter,Agent S03-086,60120003086,https://propertyguru.com.my/listing/r-f-princess-cove-s03-86
Country Garden 3-Bedroom — Danga Bay,Danga Bay,rent,2500,3,2,1275,investment,2,Local Family,Agent S03-087,60120003087,https://propertyguru.com.my/listing/danga-bay-s03-87
Z-Plaza 1-Bedroom — Danga Bay,Danga Bay,rent,2800,1,1,653,family,3,Local Family,Agent S03-088,60120003088,https://propertyguru.com.my/listing/danga-bay-s03-88
Bay Point 3-Bedroom — Danga Bay,Danga Bay,rent,1550,3,2,1311,family,3,Local Family,Agent S03-089,60120003089,https://propertyguru.com.my/listing/danga-bay-s03-89
Tebrau View 1-Bedroom — Danga Bay,Danga Bay,rent,1850,1,1,689,commuter,2,Local Family,Agent S03-090,60120003090,https://propertyguru.com.my/listing/danga-bay-s03-90
Danga Suites 3-Bedroom — Danga Bay,Danga Bay,rent,2200,3,2,1347,investment,3,Local Family,Agent S03-091,60120003091,https://propertyguru.com.my/listing/danga-bay-s03-91
Country Garden 1-Bedroom — Danga Bay,Danga Bay,rent,2500,1,1,725,family,3,Local Family,Agent S03-092,60120003092,https://propertyguru.com.my/listing/danga-bay-s03-92
Z-Plaza 3-Bedroom — Danga Bay,Danga Bay,rent,2800,3,2,1383,family,2,Local Family,Agent S03-093,60120003093,https://propertyguru.com.my/listing/danga-bay-s03-93
Bay Point 1-Bedroom — Danga Bay,Danga Bay,rent,1550,1,1,635,commuter,3,Local Family,Agent S03-094,60120003094,https://propertyguru.com.my/listing/danga-bay-s03-94
Tebrau View 3-Bedroom — Danga Bay,Danga Bay,rent,1850,3,2,1293,investment,3,Local Family,Agent S03-095,60120003095,https://propertyguru.com.my/listing/danga-bay-s03-95
Danga Suites 1-Bedroom — Danga Bay,Danga Bay,rent,2200,1,1,671,family,2,Local Family,Agent S03-096,60120003096,https://propertyguru.com.my/listing/danga-bay-s03-96
Country Garden 3-Bedroom — Danga Bay,Danga Bay,rent,2500,3,2,1329,family,3,Local Family,Agent S03-097,60120003097,https://propertyguru.com.my/listing/danga-bay-s03-97
Z-Plaza 1-Bedroom — Danga Bay,Danga Bay,rent,2800,1,1,707,commuter,3,Local Family,Agent S03-098,60120003098,https://propertyguru.com.my/listing/danga-bay-s03-98
Bay Point 3-Bedroom — Danga Bay,Danga Bay,rent,1550,3,2,1365,investment,2,Local Family,Agent S03-099,60120003099,https://propertyguru.com.my/listing/danga-bay-s03-99
Tebrau View 1-Bedroom — Danga Bay,Danga Bay,rent,1850,1,1,743,family,3,Local Family,Agent S03-100,60120003100,https://propertyguru.com.my/listing/danga-bay-s03-100
Danga Suites 3-Bedroom — Danga Bay,Danga Bay,rent,2200,3,2,1275,family,3,Local Family,Agent S03-101,60120003101,https://propertyguru.com.my/listing/danga-bay-s03-101
Country Garden 1-Bedroom — Danga Bay,Danga Bay,rent,2500,1,1,653,commuter,2,Local Family,Agent S03-102,60120003102,https://propertyguru.com.my/listing/danga-bay-s03-102
Z-Plaza 3-Bedroom — Danga Bay,Danga Bay,rent,2800,3,2,1311,investment,3,Local Family,Agent S03-103,60120003103,https://propertyguru.com.my/listing/danga-bay-s03-103
Bay Point 1-Bedroom — Danga Bay,Danga Bay,rent,1550,1,1,689,family,3,Local Family,Agent S03-104,60120003104,https://propertyguru.com.my/listing/danga-bay-s03-104
Tebrau View 3-Bedroom — Danga Bay,Danga Bay,rent,1850,3,2,1347,family,2,Local Family,Agent S03-105,60120003105,https://propertyguru.com.my/listing/danga-bay-s03-105
Danga Suites 1-Bedroom — Danga Bay,Danga Bay,rent,2200,1,1,725,commuter,3,Local Family,Agent S03-106,60120003106,https://propertyguru.com.my/listing/danga-bay-s03-106
Country Garden 3-Bedroom — Danga Bay,Danga Bay,rent,2500,3,2,1383,investment,3,Local Family,Agent S03-107,60120003107,https://propertyguru.com.my/listing/danga-bay-s03-107
Z-Plaza 1-Bedroom — Danga Bay,Danga Bay,rent,2800,1,1,635,family,2,Local Family,Agent S03-108,60120003108,https://propertyguru.com.my/listing/danga-bay-s03-108
Bay Point 3-Bedroom — Danga Bay,Danga Bay,rent,1550,3,2,1293,family,3,Local Family,Agent S03-109,60120003109,https://propertyguru.com.my/listing/danga-bay-s03-109
Tebrau View 1-Bedroom — Danga Bay,Danga Bay,rent,1850,1,1,671,commuter,3,Local Family,Agent S03-110,60120003110,https://propertyguru.com.my/listing/danga-bay-s03-110
Danga Suites 3-Bedroom — Danga Bay,Danga Bay,rent,2200,3,2,1329,investment,2,Local Family,Agent S03-111,60120003111,https://propertyguru.com.my/listing/danga-bay-s03-111
Country Garden 1-Bedroom — Danga Bay,Danga Bay,rent,2500,1,1,707,family,3,Local Family,Agent S03-112,60120003112,https://propertyguru.com.my/listing/danga-bay-s03-112
Z-Plaza 3-Bedroom — Danga Bay,Danga Bay,rent,2800,3,2,1365,family,3,Local Family,Agent S03-113,60120003113,https://propertyguru.com.my/listing/danga-bay-s03-113
Bay Point 1-Bedroom — Danga Bay,Danga Bay,rent,1550,1,1,743,commuter,2,Local Family,Agent S03-114,60120003114,https://propertyguru.com.my/listing/danga-bay-s03-114
Tebrau View 3-Bedroom — Danga Bay,Danga Bay,rent,1850,3,2,1275,investment,3,Local Family,Agent S03-115,60120003115,https://propertyguru.com.my/listing/danga-bay-s03-115
Danga Suites 1-Bedroom — Danga Bay,Danga Bay,rent,2200,1,1,653,family,3,Local Family,Agent S03-116,60120003116,https://propertyguru.com.my/listing/danga-bay-s03-116
Country Garden 3-Bedroom — Danga Bay,Danga Bay,rent,2500,3,2,1311,family,2,Local Family,Agent S03-117,60120003117,https://propertyguru.com.my/listing/danga-bay-s03-117
Z-Plaza 1-Bedroom — Danga Bay,Danga Bay,rent,2800,1,1,689,commuter,3,Local Family,Agent S03-118,60120003118,https://propertyguru.com.my/listing/danga-bay-s03-118
Bay Point 3-Bedroom — Danga Bay,Danga Bay,rent,1550,3,2,1347,investment,3,Local Family,Agent S03-119,60120003119,https://propertyguru.com.my/listing/danga-bay-s03-119
Tebrau View 1-Bedroom — Danga Bay,Danga Bay,rent,1850,1,1,725,family,2,Local Family,Agent S03-120,60120003120,https://propertyguru.com.my/listing/danga-bay-s03-120
Danga Suites 3-Bedroom — Danga Bay,Danga Bay,rent,2200,3,2,1383,family,3,Local Family,Agent S03-121,60120003121,https://propertyguru.com.my/listing/danga-bay-s03-121
Country Garden 1-Bedroom — Danga Bay,Danga Bay,rent,2500,1,1,635,commuter,3,Local Family,Agent S03-122,60120003122,https://propertyguru.com.my/listing/danga-bay-s03-122
Z-Plaza 3-Bedroom — Danga Bay,Danga Bay,rent,2800,3,2,1293,investment,2,Local Family,Agent S03-123,60120003123,https://propertyguru.com.my/listing/danga-bay-s03-123
Bay Point 1-Bedroom — Danga Bay,Danga Bay,rent,1550,1,1,671,family,3,Local Family,Agent S03-124,60120003124,https://propertyguru.com.my/listing/danga-bay-s03-124
Tebrau View 3-Bedroom — Danga Bay,Danga Bay,rent,1850,3,2,1329,family,3,Local Family,Agent S03-125,60120003125,https://propertyguru.com.my/listing/danga-bay-s03-125
Danga Suites 1-Bedroom — Danga Bay,Danga Bay,rent,2200,1,1,707,commuter,2,Local Family,Agent S03-126,60120003126,https://propertyguru.com.my/listing/danga-bay-s03-126
Country Garden 3-Bedroom — Danga Bay,Danga Bay,rent,2500,3,2,1365,investment,3,Local Family,Agent S03-127,60120003127,https://propertyguru.com.my/listing/danga-bay-s03-127
Z-Plaza 1-Bedroom — Danga Bay,Danga Bay,rent,2800,1,1,743,family,3,Local Family,Agent S03-128,60120003128,https://propertyguru.com.my/listing/danga-bay-s03-128
Bay Point 3-Bedroom — Danga Bay,Danga Bay,rent,1550,3,2,1275,family,2,Local Family,Agent S03-129,60120003129,https://propertyguru.com.my/listing/danga-bay-s03-129
Sky Loft 2-Bedroom — Bukit Indah,Bukit Indah,rent,1800,2,2,915,investment,4,Local Family,Agent S03-130,60120003130,https://propertyguru.com.my/listing/bukit-indah-s03-130
Nusa Bestari Studio — Bukit Indah,Bukit Indah,rent,2100,0,1,468,family,5,Local Family,Agent S03-131,60120003131,https://propertyguru.com.my/listing/bukit-indah-s03-131
Pinnacle 2-Bedroom — Bukit Indah,Bukit Indah,rent,2400,2,2,951,family,5,Local Family,Agent S03-132,60120003132,https://propertyguru.com.my/listing/bukit-indah-s03-132
Greenfield Studio — Bukit Indah,Bukit Indah,rent,2750,0,1,504,commuter,4,Local Family,Agent S03-133,60120003133,https://propertyguru.com.my/listing/bukit-indah-s03-133
Central Park 2-Bedroom — Bukit Indah,Bukit Indah,rent,3050,2,2,987,investment,5,Local Family,Agent S03-134,60120003134,https://propertyguru.com.my/listing/bukit-indah-s03-134
Sky Loft Studio — Bukit Indah,Bukit Indah,rent,1800,0,1,540,family,5,Local Family,Agent S03-135,60120003135,https://propertyguru.com.my/listing/bukit-indah-s03-135
Nusa Bestari 2-Bedroom — Bukit Indah,Bukit Indah,rent,2100,2,2,1023,family,4,Local Family,Agent S03-136,60120003136,https://propertyguru.com.my/listing/bukit-indah-s03-136
Pinnacle Studio — Bukit Indah,Bukit Indah,rent,2400,0,1,450,commuter,5,Local Family,Agent S03-137,60120003137,https://propertyguru.com.my/listing/bukit-indah-s03-137
Greenfield 2-Bedroom — Bukit Indah,Bukit Indah,rent,2750,2,2,933,investment,5,Local Family,Agent S03-138,60120003138,https://propertyguru.com.my/listing/bukit-indah-s03-138
Central Park Studio — Bukit Indah,Bukit Indah,rent,3050,0,1,486,family,4,Local Family,Agent S03-139,60120003139,https://propertyguru.com.my/listing/bukit-indah-s03-139
Sky Loft 2-Bedroom — Bukit Indah,Bukit Indah,rent,1800,2,2,969,family,5,Local Family,Agent S03-140,60120003140,https://propertyguru.com.my/listing/bukit-indah-s03-140
Nusa Bestari Studio — Bukit Indah,Bukit Indah,rent,2100,0,1,522,commuter,5,Local Family,Agent S03-141,60120003141,https://propertyguru.com.my/listing/bukit-indah-s03-141
Pinnacle 2-Bedroom — Bukit Indah,Bukit Indah,rent,2400,2,2,1005,investment,4,Local Family,Agent S03-142,60120003142,https://propertyguru.com.my/listing/bukit-indah-s03-142
Greenfield Studio — Bukit Indah,Bukit Indah,rent,2750,0,1,558,family,5,Local Family,Agent S03-143,60120003143,https://propertyguru.com.my/listing/bukit-indah-s03-143
Central Park 2-Bedroom — Bukit Indah,Bukit Indah,rent,3050,2,2,915,family,5,Local Family,Agent S03-144,60120003144,https://propertyguru.com.my/listing/bukit-indah-s03-144
Sky Loft Studio — Bukit Indah,Bukit Indah,rent,1800,0,1,468,commuter,4,Local Family,Agent S03-145,60120003145,https://propertyguru.com.my/listing/bukit-indah-s03-145
Nusa Bestari 2-Bedroom — Bukit Indah,Bukit Indah,rent,2100,2,2,951,investment,5,Local Family,Agent S03-146,60120003146,https://propertyguru.com.my/listing/bukit-indah-s03-146
Pinnacle Studio — Bukit Indah,Bukit Indah,rent,2400,0,1,504,family,5,Local Family,Agent S03-147,60120003147,https://propertyguru.com.my/listing/bukit-indah-s03-147
Greenfield 2-Bedroom — Bukit Indah,Bukit Indah,rent,2750,2,2,987,family,4,Local Family,Agent S03-148,60120003148,https://propertyguru.com.my/listing/bukit-indah-s03-148
Central Park Studio — Bukit Indah,Bukit Indah,rent,3050,0,1,540,commuter,5,Local Family,Agent S03-149,60120003149,https://propertyguru.com.my/listing/bukit-indah-s03-149
